group_removed,log_loss_full,log_loss_without,delta_log_loss,clv_full_pct,clv_without_pct,delta_clv_pct,clv_t_full,clv_t_without,n_bets_full,n_bets_without
referee,0.9979379898186583,0.9979379898186583,0.0,0.0,0.0,0.0,0.0,0.0,28494,28494
weather,0.9979379898186583,0.9968423938132994,-0.001095596005358912,0.0,0.0,0.0,0.0,0.0,28494,28404
travel_fatigue,0.9979379898186583,0.9980005811678194,6.259134916108966e-05,0.0,0.0,0.0,0.0,0.0,28494,28228
elo,0.9979379898186583,1.0167274802850765,0.0187894904664182,0.0,0.0,0.0,0.0,0.0,28494,32161
rolling_form,0.9979379898186583,0.9979280334078464,-9.956410811917671e-06,0.0,0.0,0.0,0.0,0.0,28494,28893
