model,strategy,n_bets,roi,mean_clv_pct,sharpe,hit_rate,total_profit,max_drawdown,final_bankroll,clv_positive_share,clv_t_stat,bet_price_source,closing_price_source
dixon_coles,kelly_quarter,41868,-0.12270328538863438,0.0,-0.05761641545769316,0.26397248495270853,-999.9999999999999,1.0,1.0010154913724994e-48,0.0,0.0,Mkt,bet_price_no_closing_available
dixon_coles,kelly_half,41868,-0.15238747036484118,0.0,-0.05761641545769316,0.26397248495270853,-999.9999999999995,1.0,9.497103249974203e-107,0.0,0.0,Mkt,bet_price_no_closing_available
dixon_coles,flat_1pct,42174,-0.08580712020391873,0.0,-0.057782668414334916,0.26559017404087826,-1000.0000000000006,1.0,6.005971048096064e-18,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt,kelly_quarter,39906,-0.0695786917755633,0.0,-0.05577101448741096,0.27018493459630133,-1000.0000000000015,1.0,5.31305831873327e-43,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt,kelly_half,39906,-0.061458801268661205,0.0,-0.05577101448741095,0.27018493459630133,-1000.0000000000005,1.0,5.8629953698157523e-95,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt,flat_1pct,40222,-0.09359325830210187,0.0,-0.055682454977119794,0.2721644870966138,-1000.0000000000011,1.0,2.5609944289950683e-16,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt_mkt,kelly_quarter,29582,-0.12154099479375509,0.0,-0.05284206500845889,0.28442972077614764,-999.9999999999999,1.0,1.1134452874360015e-19,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt_mkt,kelly_half,29582,-0.14036496681905566,0.0,-0.05284206500845889,0.28442972077614764,-999.9999999999999,1.0,1.0746733776207978e-46,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt_mkt,flat_1pct,30122,-0.0964618962316659,0.0,-0.052007746216418314,0.2893566164265321,-999.9999999997833,0.9999999999998047,2.1644496993449866e-10,0.0,0.0,Mkt,bet_price_no_closing_available
