model,league_code,n,log_loss,market_log_loss,edge_bits
dixon_coles,B1,2985,1.010909171594964,0.9894182116369376,-0.0310049013553876
dixon_coles,SC0,2384,0.968152577571012,0.9459042923151983,-0.0320974908068451
dixon_coles,N1,3235,0.9604007980523908,0.9366833866273464,-0.0342169918456347
dixon_coles,E1,5961,1.0584275732231918,1.033983359159106,-0.0352655464086847
dixon_coles,P1,3328,0.9491240408229692,0.919580809457628,-0.0426218733826131
dixon_coles,I1,4109,0.981912476430224,0.9492799430307712,-0.0470787941070338
dixon_coles,E0,4100,0.990581232409284,0.9575415618930484,-0.0476661688063785
dixon_coles,F1,3765,1.0188807795287655,0.9850564449010274,-0.0487981998288066
dixon_coles,D1,3285,1.0229596118087207,0.9787225309308422,-0.0638206172059194
dixon_coles,SP1,4121,1.0159444289832733,0.96294173613095,-0.0764667221318078
dixon_coles,T1,3585,1.067989886205503,0.9807219698680328,-0.1259009901287812
gbdt,E1,5961,1.0511800716639002,1.033983359159106,-0.0248096118502595
gbdt,N1,3235,0.9583320463043836,0.9366833866273464,-0.0312324139579543
gbdt,P1,3328,0.9425455385616176,0.919580809457628,-0.0331311007936842
gbdt,B1,2985,1.0137582838297168,0.9894182116369376,-0.0351153014474017
gbdt,T1,3585,1.005421292756763,0.9807219698680328,-0.0356335906448862
gbdt,F1,3765,1.0104426988560269,0.9850564449010274,-0.0366246226876252
gbdt,D1,3285,1.0058078874166103,0.9787225309308422,-0.0390759094827274
gbdt,I1,4109,0.977760542160158,0.9492799430307712,-0.0410888191255127
gbdt,SP1,4121,0.9923495142277756,0.96294173613095,-0.0424264556238536
gbdt,SC0,2384,0.979834500788746,0.9459042923151983,-0.0489509435011155
gbdt,E0,4100,0.9946167478827076,0.9575415618930484,-0.0534881869673174
gbdt_mkt,D1,3285,0.9860284758224632,0.9787225309308422,-0.0105402504641497
gbdt_mkt,T1,3585,0.988812013403059,0.9807219698680328,-0.011671465688558
gbdt_mkt,E1,5961,1.0454207466345693,1.033983359159106,-0.0165006621915762
gbdt_mkt,N1,3235,0.9505644287630136,0.9366833866273464,-0.0200261106514979
gbdt_mkt,SP1,4121,0.9792174771016786,0.96294173613095,-0.0234809307852636
gbdt_mkt,P1,3328,0.9362788960673992,0.919580809457628,-0.0240902467442515
gbdt_mkt,B1,2985,1.0103211639775138,0.9894182116369376,-0.0301565856816875
gbdt_mkt,E0,4100,0.978458836418236,0.9575415618930484,-0.0301772482264012
gbdt_mkt,F1,3765,1.0071533728538566,0.9850564449010274,-0.0318791283764274
gbdt_mkt,SC0,2384,0.9704617116993978,0.9459042923151983,-0.0354288671626148
gbdt_mkt,I1,4109,0.9764894541294896,0.9492799430307712,-0.0392550267271339
gru_sequence,B1,2232,1.0158055117545182,0.9877755610010716,-0.04043867094835929
gru_sequence,E0,2929,0.9925667532965724,0.9630546151767867,-0.04257701531144497
gru_sequence,E1,4233,1.0723742038144266,1.0368514709515626,-0.05124847054007731
gru_sequence,T1,2633,1.0332128464410548,0.9846135614167201,-0.07011394749535702
gru_sequence,D1,2348,1.029569398737836,0.9709616022020807,-0.08455317741956357
gru_sequence,P1,2390,0.9867680076897075,0.921881251228002,-0.09361180176667243
gru_sequence,SP1,2940,1.0445781693840772,0.9701630075795821,-0.10735838490229495
gru_sequence,F1,2594,1.0753957627198751,0.9909443245162172,-0.1218376710923581
gru_sequence,I1,2929,1.0560460843513155,0.9631499442057446,-0.1340208007057413
gru_sequence,N1,2290,1.0432991090310828,0.9354217692337605,-0.15563410314989048
gru_sequence,SC0,1691,1.114886869936011,0.93554611429251,-0.25873401879615837
transformer_sequence,B1,2232,1.0028866479104581,0.9877755610010716,-0.021800690146614125
transformer_sequence,SP1,2940,1.0055663168115256,0.9701630075795821,-0.05107617865998344
transformer_sequence,E0,2929,1.0073500977405319,0.9630546151767867,-0.06390487302849869
transformer_sequence,I1,2929,1.0129164240416089,0.9631499442057446,-0.07179785366170194
transformer_sequence,F1,2594,1.0464728015393503,0.9909443245162172,-0.08011065842939091
transformer_sequence,E1,4233,1.0924051680379123,1.0368514709515626,-0.08014704328952439
transformer_sequence,T1,2633,1.0468284821288971,0.9846135614167201,-0.08975715758075789
transformer_sequence,P1,2390,0.9983828948397588,0.921881251228002,-0.11036854185853641
transformer_sequence,N1,2290,1.031598121263691,0.9354217692337605,-0.13875314612437203
transformer_sequence,D1,2348,1.071614051038171,0.9709616022020807,-0.1452107887891577
transformer_sequence,SC0,1691,1.0710372274988755,0.93554611429251,-0.1954723571073487
