model,multiclass_brier,multiclass_log_loss,brier_home,log_loss_home,brier_draw,log_loss_draw,brier_away,log_loss_away,n_predictions,market_multiclass_brier,market_multiclass_log_loss
dixon_coles,0.5960036339236653,1.0083727183157474,0.219384880370225,0.6357015355120976,0.186365431369003,0.5621107297985012,0.1902533221844371,0.5700852367068403,40894,0.5778069825158818,0.9715865574326996
gbdt,0.593616721829204,0.9975421740483544,0.2180568526437702,0.6264860812050188,0.1863365563261726,0.5591290606073352,0.1892233128592612,0.5624130545920004,40894,0.5778069825158818,0.9715865574326996
gbdt_mkt,0.5867616978551489,0.9885195932417746,0.2146253332417885,0.6179444737138314,0.1859356900329007,0.5578700834923185,0.1862006745804595,0.5562766804775352,40894,0.5778069825158818,0.9715865574326996
gru_sequence,0.5965884572803237,1.041774409998894,0.2179832057936216,0.670610950389351,0.18673368323332717,0.5700495465363777,0.19187156825337498,0.571224950866853,29240,0.5795297262967535,0.9742913202654117
transformer_sequence,0.5975667382531374,1.0364326884862876,0.2186230316703138,0.649517859916755,0.1866724743226292,0.5827275922920728,0.19227123226019452,0.5833597903780137,29240,0.5795297262967535,0.9742913202654117
